Time,Raw_Z
1775799574.795302,1332
1775799574.8951905,1248
1775799574.9951997,1280
1775799575.0951843,1368
1775799575.1951993,1344
1775799575.2951071,1324
1775799575.3951163,1444
1775799575.4949143,1352
1775799575.594971,1312
1775799575.6951134,1404
1775799575.795175,1296
1775799575.8949955,1264
1775799575.9949846,1424
1775799576.094964,1340
1775799576.194926,1328
1775799576.294945,1328
1775799576.39498,1304
1775799576.494139,1376
1775799576.5951955,1316
1775799576.6951656,1428
1775799576.7951808,1268
1775799576.8951294,1372
1775799576.995091,1288
1775799577.0952122,1292
1775799577.195092,1356
1775799577.295435,1240
1775799577.3951821,1244
1775799577.4951906,1316
1775799577.5950513,1320
1775799577.6949332,1412
1775799577.7952538,1332
1775799577.8949847,1392
1775799577.9950185,1404
1775799578.0950253,1248
1775799578.194956,1232
1775799578.2951574,1248
1775799578.3949656,1376
1775799578.4950542,1280
1775799578.5951018,1380
1775799578.6952178,1396
1775799578.7950528,1408
1775799578.8950424,1260
1775799578.9951894,1452
1775799579.0951157,1316
1775799579.195286,1324
1775799579.2952938,1380
1775799579.3952355,1464
1775799579.4953034,1376
1775799579.594984,1300
1775799579.6949234,1352
1775799579.7949097,1348
1775799579.8950121,1464
1775799579.9950047,1368
1775799580.0949202,1376
1775799580.1949542,1404
1775799580.29496,1328
1775799580.3949249,1296
1775799580.494901,1340
1775799580.5949106,1364
1775799580.6949,1376
1775799580.7953634,1444
1775799580.8953073,1344
1775799580.995077,1348
1775799581.095114,1396
1775799581.195024,1316
1775799581.2953312,1288
1775799581.3952932,1356
1775799581.4951465,1248
1775799581.595384,1332
1775799581.695054,1464
1775799581.7950788,1312
1775799581.8949096,1280
1775799581.9952233,1424
1775799582.0949569,1320
1775799582.195041,1364
1775799582.2950203,1388
1775799582.3950942,1244
1775799582.4953825,1336
1775799582.5950327,1336
1775799582.694935,1340
1775799582.7952175,1308
1775799582.8952634,1340
1775799582.9952393,1328
1775799583.0952938,1276
1775799583.1953523,1216
1775799583.2952414,1432
1775799583.3952308,1384
1775799583.4951773,1400
1775799583.5954301,1384
1775799583.6953058,1284
1775799583.7954545,1292
1775799583.8952851,1336
1775799583.9953184,1360
1775799584.0951037,1348
1775799584.195034,1232
1775799584.2950513,1232
1775799584.3951633,1400
1775799584.495036,1304
1775799584.5951607,1236
1775799584.6950443,1240
1775799584.79505,1248
1775799584.8950794,1416
1775799584.9952776,1304
1775799585.0951147,1304
1775799585.1954277,1300
1775799585.2951176,1312
1775799585.3954017,1216
1775799585.495304,1324
1775799585.5951395,1328
1775799585.6952991,1328
1775799585.7952735,1384
1775799585.8952532,1288
1775799585.995627,1080
1775799586.0953217,1348
1775799586.1950428,1488
1775799586.2950354,1312
1775799586.395146,1240
1775799586.4950678,1412
1775799586.594951,1304
1775799586.6950378,1336
1775799586.7950907,1312
1775799586.8949637,1376
1775799586.995062,1484
1775799587.0953434,1272
1775799587.1951396,1340
1775799587.295265,1396
1775799587.3953571,1340
1775799587.495202,1228
1775799587.5957587,1280
1775799587.6949713,1340
1775799587.795288,1332
1775799587.895359,1252
1775799587.9951255,1456
1775799588.0951698,1404
1775799588.195286,1364
1775799588.295082,1420
1775799588.3951797,1316
1775799588.4952402,1380
1775799588.5952113,1312
1775799588.6950078,1376
1775799588.7950428,1384
1775799588.8951669,1420
1775799588.9950368,1252
1775799589.0951803,1336
1775799589.1951523,1436
1775799589.2952895,1348
1775799589.3953888,1444
1775799589.4952033,1236
1775799589.5952187,1392
1775799589.6951544,1280
1775799589.7951794,1320
1775799589.8952136,1340
1775799589.9950438,1264
1775799590.095365,1340
1775799590.195327,1372
1775799590.2951844,1332
1775799590.3952246,1292
1775799590.4952054,1332
1775799590.5954678,1360
1775799590.6950326,1388
1775799590.7950249,1384
1775799590.8950167,1248
1775799590.9949446,1288
1775799591.0950246,1396
1775799591.1951926,1320
1775799591.295167,1344
1775799591.395237,1240
1775799591.4952106,1344
1775799591.5951657,1276
1775799591.6951442,1332
1775799591.7951043,1320
1775799591.895647,1336
1775799591.9950383,1308
1775799592.0951688,1352
1775799592.1952388,1368
1775799592.295301,1360
1775799592.3950675,1360
1775799592.495091,1384
1775799592.595236,1288
1775799592.6949239,1380
1775799592.7950323,1360
1775799592.8949504,1244
1775799592.9949877,1332
1775799593.0949483,1288
1775799593.195012,1228
1775799593.295039,1380
1775799593.3951225,1212
1775799593.495007,1284
1775799593.595267,1320
1775799593.695112,1280
1775799593.79503,1360
1775799593.8952253,1316
1775799593.9950783,1324
1775799594.0951972,1328
1775799594.1952093,1300
1775799594.2952993,1340
1775799594.3955562,1384
1775799594.4951441,1376
1775799594.5951169,1276
1775799594.6952667,1396
1775799594.7951818,1384
1775799594.8950155,1264
1775799594.9951024,1312
1775799595.095464,1336
1775799595.1949732,1368
1775799595.2950983,1268
1775799595.3951294,1364
1775799595.4959605,1340
1775799595.595133,1328
1775799595.69528,1364
1775799595.7952664,1292
1775799595.8951578,1304
1775799595.99505,1256
1775799596.095207,1436
1775799596.1952064,1432
1775799596.2952437,1328
1775799596.3951662,1336
1775799596.4951982,1352
1775799596.5952942,1336
1775799596.6952872,1364
1775799596.795313,1316
1775799596.8952153,1288
1775799596.994979,1364
1775799597.0949707,1264
1775799597.1949997,1408
1775799597.2950003,1420
1775799597.3951304,1288
1775799597.4950569,1388
1775799597.5960035,1344
1775799597.695197,1400
1775799597.7952871,1364
1775799597.8950794,1328
1775799597.9950287,1368
1775799598.095293,1292
1775799598.195356,1300
1775799598.2952447,1276
1775799598.3953054,1368
1775799598.4955707,1312
1775799598.595477,1336
1775799598.695352,1400
1775799598.7951956,1416
1775799598.8953066,1264
1775799598.9950967,1424
1775799599.0952501,1312
1775799599.1950011,1348
1775799599.295055,1276
1775799599.3950899,1396
1775799599.4952009,1388
1775799599.5950809,1392
1775799599.6960125,1312
1775799599.7959425,1284
1775799599.8955142,1392
1775799599.9949481,1340
1775799600.0954416,1320
1775799600.195426,1352
1775799600.295169,1388
1775799600.3951495,1380
1775799600.495078,1392
1775799600.5957713,1384
1775799600.6952553,1304
1775799600.7954187,1384
1775799600.8957188,1320
1775799600.9949465,1420
1775799601.0953755,1472
1775799601.1954198,1320
1775799601.2954755,1428
1775799601.3950288,1320
1775799601.494947,1296
1775799601.5949163,1348
1775799601.6952393,1240
1775799601.7959454,1372
1775799601.896202,1376
1775799601.9958856,1288
1775799602.0953176,1344
1775799602.1954055,1256
1775799602.2952974,1296
1775799602.3955758,1344
1775799602.4952054,1336
1775799602.59535,1472
1775799602.6952982,1336
1775799602.7952325,1392
1775799602.8952937,1312
1775799602.995058,1288
1775799603.0952587,1328
1775799603.1952736,1408
1775799603.2953577,1324
1775799603.3954227,1376
1775799603.495053,1340
1775799603.595083,1224
1775799603.694985,1352
1775799603.7949991,1324
1775799603.896038,1324
1775799603.9961092,1392
1775799604.0960839,1392
1775799604.195178,1320
1775799604.295111,1324
1775799604.3952394,1220
1775799604.4960618,1332
1775799604.5952764,1300
1775799604.6951602,1340
1775799604.7952921,1416
1775799604.8951652,1432
1775799604.9950185,1392
1775799605.095061,1360
1775799605.1951036,1376
1775799605.2952633,1388
1775799605.3950865,1372
1775799605.495387,1404
1775799605.5950072,1244
1775799605.6951697,1388
1775799605.7949789,1248
1775799605.8955379,1404
1775799605.9959822,1444
1775799606.0959494,1380
1775799606.1961472,1416
1775799606.2959998,1312
1775799606.3952272,1356
1775799606.4951732,1344
1775799606.595325,1432
1775799606.6957843,1400
1775799606.7950737,1376
1775799606.8952138,1364
1775799606.995064,1412
1775799607.0951204,1324
1775799607.1952965,1368
1775799607.2952483,1472
1775799607.395232,1468
1775799607.49515,1336
1775799607.5951917,1408
1775799607.695143,1372
1775799607.7950082,1284
1775799607.8951862,1380
1775799607.9949744,1360
1775799608.0959325,1256
1775799608.1960418,1280
1775799608.295941,1216
1775799608.396058,1260
1775799608.495327,1352
1775799608.59518,1372
1775799608.6950629,1308
1775799608.7952685,1348
1775799608.8952386,1400
1775799608.995243,1356
1775799609.0952837,1328
1775799609.1952956,1368
1775799609.2953038,1372
1775799609.3953419,1348
1775799609.4950738,1236
1775799609.5953803,1272
1775799609.695477,1292
1775799609.7951574,1328
1775799609.8952112,1268
1775799609.9949694,1288
1775799610.0950265,1380
1775799610.1959918,1292
1775799610.295953,1312
1775799610.3960378,1340
1775799610.495988,1292
1775799610.5960608,1360
1775799610.69519,1392
1775799610.7950647,1284
1775799610.8951883,1348
1775799610.9951315,1312
1775799611.095203,1312
1775799611.1952076,1400
1775799611.295088,1380
1775799611.395327,1260
1775799611.4950533,1452
1775799611.5951488,1356
1775799611.6951277,1400
1775799611.7954888,1284
1775799611.8952982,1356
1775799611.9950364,1336
1775799612.0950582,1400
1775799612.195125,1328
1775799612.2959597,1308
1775799612.3962312,1396
1775799612.4962254,1352
1775799612.5961812,1364
1775799612.6959584,1388
1775799612.7963026,1352
1775799612.8951485,1356
1775799612.9951584,1396
1775799613.0951445,1272
1775799613.1953118,1260
1775799613.2953231,1468
1775799613.3951871,1360
1775799613.4950678,1320
1775799613.5951385,1340
1775799613.6951365,1300
1775799613.7952316,1296
1775799613.8952518,1368
1775799613.995045,1268
1775799614.0952315,1352
1775799614.1951876,1320
1775799614.2950523,1372
1775799614.3959134,1292
1775799614.496032,1312
1775799614.596013,1424
1775799614.6959014,1416
1775799614.7960384,1320
1775799614.8959894,1280
1775799614.995143,1348
1775799615.0951285,1232
1775799615.1951137,1416
1775799615.2953267,1420
1775799615.3952856,1336
1775799615.495255,1348
1775799615.5952215,1236
1775799615.6952434,1332
1775799615.7950988,1312
1775799615.895275,1488
1775799615.9951313,1356
1775799616.0950556,1348
1775799616.1952374,1280
1775799616.2951283,1344
1775799616.395136,1312
1775799616.4961069,1276
1775799616.5959692,1220
1775799616.6960526,1248
1775799616.7960417,1268
1775799616.8959026,1324
1775799616.996099,1292
1775799617.0959847,1320
1775799617.1951487,1324
1775799617.2949824,1336
1775799617.3952792,1368
1775799617.4950418,1280
1775799617.5949595,1368
1775799617.6950095,1368
1775799617.795097,1324
1775799617.8952947,1232
1775799617.995109,1316
1775799618.09527,1420
1775799618.1950347,1292
1775799618.2953167,1332
1775799618.3949766,1376
1775799618.4949627,1308
1775799618.5959606,1400
1775799618.695952,1248
1775799618.7960548,1340
1775799618.896016,1292
1775799618.9961665,1264
1775799619.0960147,1416
1775799619.196052,1400
1775799619.295319,1268
1775799619.395256,1316
1775799619.495302,1416
1775799619.5951564,1320
1775799619.695061,1424
1775799619.795144,1380
1775799619.8951318,1276
1775799619.9953818,1292
1775799620.0952735,1292
1775799620.1952512,1348
1775799620.2958062,1332
1775799620.3953123,1308
1775799620.4954927,1340
1775799620.5950434,1368
1775799620.6960258,1312
1775799620.7960272,1324
1775799620.896131,1264
1775799620.9961565,1368
1775799621.0962036,1356
1775799621.1960983,1408
1775799621.2962313,1332
1775799621.3962064,1340
1775799621.495747,1388
1775799621.5959983,1292
1775799621.6952739,1320
1775799621.7958608,1348
1775799621.8951213,1392
1775799621.9953542,1368
1775799622.0952475,1268
1775799622.195142,1260
1775799622.2954166,1280
1775799622.395152,1296
1775799622.4957433,1348
1775799622.5955086,1416
1775799622.6950731,1412
1775799622.7964463,1404
1775799622.8962317,1344
1775799622.9961774,1356
1775799623.0962133,1316
1775799623.1960106,1376
1775799623.2963607,1320
1775799623.3960726,1280
1775799623.496166,1340
1775799623.595489,1344
1775799623.695269,1332
1775799623.7952266,1300
1775799623.8953116,1296
1775799623.9953384,1312
1775799624.0952923,1352
1775799624.195304,1296
1775799624.2951014,1284
1775799624.39501,1260
1775799624.495294,1300
1775799624.5952003,1344
1775799624.6953146,1372
1775799624.7953205,1256
1775799624.8961449,1296
1775799624.995973,1224
1775799625.09624,1380
1775799625.1961832,1324
1775799625.2959347,1360
1775799625.3961272,1336
1775799625.4960444,1264
1775799625.596053,1320
1775799625.6959577,1316
1775799625.7952278,1268
1775799625.895225,1328
1775799625.9953322,1260
1775799626.0951161,1256
1775799626.1952698,1224
1775799626.2952232,1352
1775799626.3951716,1352
1775799626.4951916,1268
1775799626.595136,1232
1775799626.695185,1312
1775799626.795477,1320
1775799626.8952432,1324
1775799626.996033,1332
1775799627.0960813,1312
1775799627.195948,1288
1775799627.2960408,1348
1775799627.3960402,1380
1775799627.4961195,1196
1775799627.5959737,1296
1775799627.6959846,1340
1775799627.7959416,1408
1775799627.89621,1312
1775799627.9952028,1368
1775799628.0951848,1280
1775799628.1951792,1404
1775799628.2952986,1364
1775799628.3951714,1300
1775799628.495063,1344
1775799628.595136,1264
1775799628.695137,1356
1775799628.7952428,1256
1775799628.895399,1304
1775799628.9950197,1308
1775799629.096024,1348
1775799629.1960351,1412
1775799629.2960799,1372
1775799629.3964696,1328
1775799629.4959567,1332
1775799629.596056,1264
1775799629.6960628,1300
1775799629.7959335,1400
1775799629.8960536,1380
1775799629.996017,1380
1775799630.0950565,1432
1775799630.195141,1340
1775799630.2951767,1480
1775799630.3951726,1168
1775799630.4951987,1324
1775799630.5952735,1364
1775799630.6951034,1316
1775799630.7952158,1388
1775799630.8950613,1448
1775799630.9950774,1276
1775799631.0952888,1400
1775799631.1959763,1232
1775799631.295973,1408
1775799631.396127,1356
1775799631.4959464,1328
1775799631.595939,1396
1775799631.6960075,1384
1775799631.796366,1292
1775799631.8959599,1308
1775799631.9959846,1360
1775799632.0960338,1384
1775799632.1959715,1400
1775799632.295389,1340
1775799632.3951051,1336
1775799632.4951046,1284
1775799632.595236,1340
1775799632.6950758,1312
1775799632.7950428,1288
1775799632.895264,1364
1775799632.9950364,1360
1775799633.095235,1496
1775799633.19516,1400
1775799633.2961166,1368
1775799633.3960025,1320
1775799633.4959576,1352
1775799633.5960648,1368
1775799633.69608,1328
1775799633.796021,1392
1775799633.896048,1200
1775799633.996061,1336
1775799634.0960712,1328
1775799634.1960793,1316
1775799634.2961822,1332
1775799634.3959494,1440
1775799634.4951217,1416
1775799634.5951164,1364
1775799634.6950853,1320
1775799634.7956462,1308
1775799634.8951192,1368
1775799634.9951286,1316
1775799635.0952017,1352
1775799635.1952126,1248
1775799635.2951927,1396
1775799635.396255,1396
1775799635.4960532,1408
1775799635.5959659,1304
1775799635.6960664,1308
1775799635.7959461,1340
1775799635.896216,1272
1775799635.996033,1372
1775799636.0960484,1288
1775799636.196236,1380
1775799636.2961679,1236
